,fucci_time,cell
1006,0.883,7
1007,0.884,377
1008,0.885,273
1009,0.8859999999999999,62
1010,0.887,586
1011,0.888,584
1012,0.889,790
1013,0.89,431
1014,0.89,261
1015,0.8909999999999999,402
1016,0.892,235
1017,0.893,413
1018,0.894,618
1019,0.895,689
1020,0.8959999999999999,44
1021,0.897,500
1022,0.897,501
1023,0.898,213
1024,0.899,325
1025,0.9,208
1026,0.9009999999999999,75
1027,0.902,188
1028,0.903,632
1029,0.904,270
1030,0.904,171
1031,0.905,102
1032,0.9059999999999999,320
1033,0.907,158
1034,0.9079999999999999,381
1035,0.909,72
1036,0.91,545
1037,0.91,626
1038,0.9109999999999999,232
1039,0.912,120
1040,0.9129999999999999,121
1041,0.914,83
1042,0.915,347
1043,0.9159999999999999,547
1044,0.917,9
1045,0.917,579
1046,0.9179999999999999,19
1047,0.919,22
1048,0.92,356
1049,0.9209999999999999,314
1050,0.922,201
1051,0.9229999999999999,690
1052,0.924,398
1053,0.924,295
1054,0.925,144
1055,0.9259999999999999,60
1056,0.927,175
1057,0.9279999999999999,433
1058,0.929,775
1059,0.93,674
1060,0.9309999999999999,703
1061,0.9309999999999999,449
1062,0.932,246
1063,0.9329999999999999,183
1064,0.934,226
1065,0.935,66
1066,0.9359999999999999,305
1067,0.937,366
1068,0.938,202
1069,0.938,317
1070,0.9390000000000001,150
1071,0.94,283
1072,0.941,207
1073,0.9420000000000001,0
1074,0.943,108
1075,0.9440000000000001,67
1076,0.945,123
1077,0.945,358
1078,0.946,113
1079,0.9470000000000001,225
1080,0.948,126
1081,0.9490000000000001,363
1082,0.95,142
1083,0.951,77
1084,0.9520000000000001,319
1085,0.9520000000000001,122
1086,0.953,35
1087,0.9540000000000001,156
1088,0.955,42
1089,0.956,11
1090,0.9570000000000001,476
1091,0.958,360
1092,0.958,223
1093,0.9590000000000001,6
1094,0.96,234
1095,0.961,140
1096,0.9620000000000001,256
1097,0.963,94
1098,0.9640000000000001,68
1099,0.965,429
1100,0.965,619
1101,0.966,322
1102,0.9670000000000001,200
1103,0.968,341
1104,0.9690000000000001,79
1105,0.97,112
1106,0.971,65
1107,0.972,269
1108,0.972,375
1109,0.973,439
1110,0.9740000000000001,119
1111,0.975,194
1112,0.976,104
1113,0.977,91
1114,0.978,198
1115,0.9790000000000001,307
1116,0.9790000000000001,51
1117,0.98,167
1118,0.981,271
1119,0.982,2
1120,0.983,27
1121,0.9840000000000001,380
1122,0.985,448
1123,0.986,802
1124,0.986,1
1125,0.987,133
1126,0.988,64
1127,0.9890000000000001,137
1128,0.99,277
1129,0.991,303
1130,0.992,782
1131,0.993,34
1132,0.993,136
1133,0.9940000000000001,267
1134,0.995,163
1135,0.996,345
1136,0.997,520
1137,0.998,368
