protein_name,median_melting_point,transcript_reg,nontranscr_reg
BCL2L11,50.575,False,False
BCL2L12,47.54,False,False
BCL2L13,51.325,False,False
BCL2L15,65.56,False,False
BCL2L2,50.83,False,False
BCL3,50.144999999999996,False,True
BCL7A,49.55,False,False
BCL7C,48.96,False,False
BCL9,57.47,False,False
BCL9L,51.24,False,False
BCLAF1,49.53,False,False
BCMO1,57.595,False,False
BCOR,53.935,False,False
BCR,47.46,False,False
BCS1L,52.19,False,False
BDH1,49.36,False,False
BDH2,50.19,False,False
BECN1,50.28,False,False
BEND3,41.96,False,False
BET1,54.894999999999996,False,False
BEX4,51.2,False,False
BGLAP,48.76,False,False
BHLHE40,51.59,False,False
BHMT2,50.11,False,False
BICC1,54.834999999999994,False,False
BICD1,53.51,False,False
BICD2,48.11,False,False
BIN1,50.69,False,False
BIN3,49.69,False,False
BIRC2,49.15,False,False
BIRC6,49.805,False,True
BLM,49.915,False,False
BLMH,65.69999999999999,False,False
BLOC1S1,52.45,False,False
BLOC1S2,54.730000000000004,False,False
BLOC1S3,51.525,False,False
BLOC1S4,56.125,False,False
BLOC1S5,58.855,False,False
BLOC1S6,58.010000000000005,False,False
BLVRA,52.21,False,False
BLVRB,49.52,False,False
BLZF1,57.535,False,False
BMI1,52.84,False,False
BMP2K,48.14,False,False
BMS1,52.6,False,True
BNIP1,51.65,False,False
BNIP2,53.735,False,False
BOD1L1,61.43,False,False
BOK,49.97,False,False
BOLA1,52.15,False,False
BOLA2,51.52,False,False
BOLA3,51.88,False,False
BOP1,49.13,False,True
BPGM,50.91,False,False
BPHL,50.93,False,False
BPIL1,50.46,False,False
BPNT1,52.455,False,False
BPTF,46.1,False,False
BRAF,53.15,False,False
BRAP,50.235,False,False
BRAT1,47.480000000000004,False,False
BRCA1,58.22,False,False
BRCA2,51.19,False,True
BRCC3,52.230000000000004,False,False
BRD2,46.675,False,False
BRD3,48.56,False,False
BRD4,45.72,False,False
BRD7,46.45,False,False
BRD8,49.14,False,False
BRE,51.78,False,False
BRF1,52.61,False,True
BRI3BP,50.51,False,False
BRIP1,50.7,False,False
BRIX1,50.27,False,True
BRK1,60.29,False,False
BRMS1,51.42,False,False
BRMS1L,44.74,False,False
BROX,50.275,False,False
BRP44,51.655,False,False
BRPF1,46.13,False,False
BRPF3,50.58,False,False
BRSK2,51.36,False,False
BSDC1,50.23,False,False
BSG,61.675,False,False
BST2,52.95,False,False
BTAF1,48.54,False,False
BTBD11,53.155,False,False
BTBD2,46.91,False,False
BTBD3,45.78,False,False
BTBD7,55.18,False,False
BTD,52.4,False,False
BTK,49.04,False,False
BTN2A1,51.1,False,False
BTRC,46.55,False,False
BUB1,52.26,False,False
BUB1B,48.17,True,False
BUB3,53.33,False,False
BUD13,50.65,False,False
BUD31,50.75,False,False
BXDC2,52.74,False,False
BYSL,48.89,False,True
BZW1,47.94,False,False
BZW2,50.47,False,False
C10ORF104,49.85,False,False
C10ORF11,45.16,False,False
C10ORF118,48.11,False,False
C10ORF119,48.03,False,False
C10ORF137,47.42,False,False
C10ORF32,50.325,False,False
C10ORF4,46.66,False,False
C10ORF46,45.57,False,False
C10ORF47,47.94,False,False
C10ORF58,52.82,False,False
C10ORF76,52.12,False,False
C10ORF84,50.36,False,False
C10orf11,54.5,False,False
C10orf118,55.71,False,False
C10orf12,50.5,False,False
C10orf32,54.44,False,False
C10orf35,55.629999999999995,False,False
C10orf76,60.995000000000005,False,False
C10orf88,59.275,False,False
C11ORF2,48.01,False,False
C11ORF52,51.07,False,False
C11ORF54,52.79,False,False
C11ORF58,58.79,False,False
C11ORF59,51.77,False,False
