well_plate,ENSG,var_comp,perc_var_comp,pass_percvar,wp_comp_kruskal_gaussccd_adj,pass_gauss,ccd_comp,nonccd_comp,wp_prev_ccd,gene_name
A04_55195978,ENSG00000116031,15826.37679,0.333935276,TRUE,1.67E-07,TRUE,TRUE,FALSE,FALSE,CD207
A04_55205980,ENSG00000120278,14301.50955,0.337025488,TRUE,7.53E-11,TRUE,TRUE,FALSE,TRUE,PLEKHG1
A04_55215982,ENSG00000176928,85779.27917,0.202774775,FALSE,2.83E-05,TRUE,FALSE,TRUE,FALSE,GCNT4
A04_55225983,ENSG00000078328,566123.444,0.192406552,FALSE,8.00E-05,TRUE,FALSE,TRUE,FALSE,RBFOX1
A04_55235979,ENSG00000147874,711973.7386,0.157756165,FALSE,0.010170642,TRUE,FALSE,TRUE,FALSE,HAUS6
A04_55245981,ENSG00000064933,13919.89273,0.313998218,TRUE,4.82E-11,TRUE,TRUE,FALSE,FALSE,PMS1
A04_55335984,ENSG00000096968,137202.3351,0.222197267,FALSE,1.77E-09,TRUE,FALSE,TRUE,FALSE,JAK2
A04_55345985,ENSG00000179918,24174.07921,0.377497346,TRUE,1.24E-18,TRUE,TRUE,FALSE,FALSE,SEPHS2
A04_55355986,ENSG00000181513,18728.37532,0.339041989,TRUE,2.42E-12,TRUE,TRUE,FALSE,FALSE,ACBD4
A04_55375988,ENSG00000116793,2053.20492,0.306040144,TRUE,2.91E-11,TRUE,TRUE,FALSE,FALSE,PHTF1
A04_55395990,ENSG00000158125,13872.77062,0.377059275,TRUE,9.18E-15,TRUE,TRUE,FALSE,TRUE,XDH
A04_55405991,ENSG00000073578,94191.77973,0.164867574,FALSE,0.000340198,TRUE,FALSE,TRUE,FALSE,SDHA
A04_75836284,ENSG00000136404,9378.846917,0.249358157,TRUE,2.08E-05,TRUE,TRUE,FALSE,FALSE,TM6SF1
A05_55185977,ENSG00000121152,213909.9888,0.252856639,TRUE,4.14E-05,TRUE,TRUE,FALSE,TRUE,NCAPH
A05_55195978,ENSG00000136114,14950.27337,0.192706977,FALSE,2.63E-05,TRUE,FALSE,TRUE,FALSE,THSD1
A05_55205980,ENSG00000100479,6140.10615,0.236296249,FALSE,2.32E-06,TRUE,FALSE,TRUE,FALSE,POLE2
A05_55215982,ENSG00000041802,129014.146,0.298642607,TRUE,2.42E-12,TRUE,TRUE,FALSE,FALSE,LSG1
A05_55225983,ENSG00000152229,318478.8319,0.127497076,FALSE,0.017195476,TRUE,FALSE,TRUE,FALSE,PSTPIP2
A05_55235979,ENSG00000187607,1917.290025,0.319686847,TRUE,1.07E-09,TRUE,TRUE,FALSE,TRUE,ZNF286A
A05_55335984,ENSG00000006704,321792.0959,0.298515253,TRUE,4.62E-10,TRUE,TRUE,FALSE,TRUE,GTF2IRD1
A05_55345985,ENSG00000211450,31159.5042,0.277546799,TRUE,1.06E-06,TRUE,TRUE,FALSE,FALSE,SELENOH
A05_55355986,ENSG00000158480,13945.51567,0.4694864,TRUE,4.54E-14,TRUE,TRUE,FALSE,FALSE,SPATA2
A05_55365987,ENSG00000082482,177766.9786,0.238988447,FALSE,6.52E-08,TRUE,FALSE,TRUE,FALSE,KCNK2
A05_55375988,ENSG00000134602,67935.63355,0.455189538,TRUE,2.75E-10,TRUE,TRUE,FALSE,TRUE,STK26
A05_55385989,ENSG00000135119,84802.7057,0.113613621,FALSE,3.17E-05,TRUE,FALSE,TRUE,TRUE,RNFT2
A05_55395990,ENSG00000241484,12738.41585,0.378427904,TRUE,1.32E-11,TRUE,TRUE,FALSE,TRUE,ARHGAP8
A05_55405991,ENSG00000108602,130151.0014,0.342451286,TRUE,2.41E-13,TRUE,TRUE,FALSE,TRUE,ALDH3A1
A05_6717,ENSG00000053702,25447.55221,0.342194184,TRUE,7.04E-09,TRUE,TRUE,FALSE,FALSE,NRIP2
A05_6718,ENSG00000139344,24302.88516,0.229257341,FALSE,0.000346091,TRUE,FALSE,TRUE,FALSE,AMDHD1
A05_6736,ENSG00000101290,2606.657431,0.250370014,TRUE,0.000493085,TRUE,TRUE,FALSE,FALSE,CDS2
