well_plate,ENSG,var_comp,perc_var_comp,pass_percvar,wp_comp_kruskal_gaussccd_adj,pass_gauss,ccd_comp,nonccd_comp,wp_prev_ccd,gene_name
C03_55335984,ENSG00000113240,0.000225808,0.142354016,TRUE,0.247014513,FALSE,FALSE,TRUE,FALSE,CLK4
C03_55345985,ENSG00000102543,0.000202114,0.128998762,FALSE,0.353256621,FALSE,FALSE,TRUE,FALSE,CDADC1
C03_55355986,ENSG00000146950,0.000994229,0.136867192,TRUE,0.6981879,FALSE,FALSE,TRUE,FALSE,SHROOM2
C03_55365987,ENSG00000100065,0.000474796,0.125194764,FALSE,0.888566783,FALSE,FALSE,TRUE,FALSE,CARD10
C03_55385989,ENSG00000129038,7.80E-05,0.140121175,TRUE,0.196875952,FALSE,FALSE,TRUE,FALSE,LOXL1
C03_55395990,ENSG00000100146,0.000472059,0.14985175,TRUE,0.000996482,TRUE,TRUE,FALSE,TRUE,SOX10
C03_55405991,ENSG00000163607,0.001880543,0.09855873,FALSE,0.456762056,FALSE,FALSE,TRUE,FALSE,GTPBP8
C03_6720,ENSG00000141552,0.000238937,0.224703256,TRUE,0.942106518,FALSE,FALSE,TRUE,FALSE,ANAPC11
C03_6724,ENSG00000041880,0.000270711,0.263792369,TRUE,3.76E-05,TRUE,TRUE,FALSE,FALSE,PARP3
C03_75836284,ENSG00000069011,0.000174539,0.284933158,TRUE,0.062615435,FALSE,FALSE,TRUE,TRUE,PITX1
C03_75846286,ENSG00000060718,1.53E-05,0.12993002,FALSE,0.064707945,FALSE,FALSE,TRUE,TRUE,COL11A1
C04_55185977,ENSG00000163565,9.14E-05,0.080407455,FALSE,0.831898254,FALSE,FALSE,TRUE,FALSE,IFI16
C04_55195978,ENSG00000050165,0.000205736,0.183466787,TRUE,0.325265918,FALSE,FALSE,TRUE,FALSE,DKK3
C04_55205980,ENSG00000117148,2.11E-05,0.146091347,TRUE,0.76847508,FALSE,FALSE,TRUE,FALSE,ACTL8
C04_55215982,ENSG00000133731,0.000299503,0.084369445,FALSE,0.738817005,FALSE,FALSE,TRUE,FALSE,IMPA1
C04_55225983,ENSG00000164190,0.000141037,0.11749179,FALSE,0.05989096,FALSE,FALSE,TRUE,TRUE,NIPBL
C04_55245981,ENSG00000096060,0.001079138,0.138232308,TRUE,0.150001703,FALSE,FALSE,TRUE,FALSE,FKBP5
C04_55335984,ENSG00000161800,0.008596571,0.558227283,TRUE,4.59E-16,TRUE,TRUE,FALSE,TRUE,RACGAP1
C04_55345985,ENSG00000105486,0.000374612,0.174942845,TRUE,0.150686755,FALSE,FALSE,TRUE,FALSE,LIG1
C04_55355986,ENSG00000095777,0.000336728,0.086223847,FALSE,0.048872848,TRUE,FALSE,TRUE,FALSE,MYO3A
C04_55375988,ENSG00000178498,6.37E-05,0.184236082,TRUE,0.001448019,TRUE,TRUE,FALSE,TRUE,DTX3
C04_55385989,ENSG00000144554,0.000729109,0.151512223,TRUE,0.003216008,TRUE,TRUE,FALSE,FALSE,FANCD2
C04_55395990,ENSG00000125484,0.00127239,0.093904276,FALSE,0.636260312,FALSE,FALSE,TRUE,FALSE,GTF3C4
C04_55405991,ENSG00000072571,0.000815463,0.369407199,TRUE,4.61E-12,TRUE,TRUE,FALSE,TRUE,HMMR
C04_6724,ENSG00000137513,9.70E-05,0.155972219,TRUE,0.421191783,FALSE,FALSE,TRUE,FALSE,NARS2
C04_6736,ENSG00000134684,0.000296011,0.165631735,TRUE,0.638144544,FALSE,FALSE,TRUE,FALSE,YARS
C04_75836284,ENSG00000276045,8.70E-06,0.203893202,TRUE,0.065329663,FALSE,FALSE,TRUE,FALSE,ORAI1
C05_55185977,ENSG00000095261,0.000131366,0.071973625,FALSE,0.841605128,FALSE,FALSE,TRUE,FALSE,PSMD5
C05_55205980,ENSG00000110092,0.001975445,0.175668045,TRUE,0.082881425,FALSE,FALSE,TRUE,FALSE,CCND1
C05_55215982,ENSG00000177646,7.58E-05,0.057564565,FALSE,0.517476655,FALSE,FALSE,TRUE,FALSE,ACAD9
C05_55225983,ENSG00000130244,0.001510374,0.09436214,FALSE,0.888566783,FALSE,FALSE,TRUE,FALSE,FAM98C
C05_55235979,ENSG00000136813,0.000503098,0.192267153,TRUE,0.061689719,FALSE,FALSE,TRUE,FALSE,ECPAS
