Protein ID	Melting point [°C]	Protein stability class	Quantile-normalized melting point [°C]	AUC	Curve fit converged	R2 of curve fit
ABCD1	47.65	medium	47.22	0.37	TRUE	1
ABCD3	49.94	medium	49.63	0.45	TRUE	1
ABCE1	51.59	medium	51.8	0.61	TRUE	0.94
ABCF1	49.91	medium	49.59	0.45	TRUE	1
ABCF2	50.09	medium	49.81	0.46	TRUE	0.95
ABCF3	45.14	non-stable	44.83	0.29	TRUE	1
ABCG2		non-melter		0.8	TRUE	0.26
ABHD10	52.08	stable	52.49	0.65	TRUE	0.81
ABHD12	50.95	medium	50.92	0.51	TRUE	1
ABHD14A	50.38	medium	50.18	0.49	TRUE	0.99
ABHD14B	51.39	medium	51.49	0.51	TRUE	1
ABHD4	46.88	medium	46.49	0.36	TRUE	1
ABHD5	52.59	medium	53.24	0.56	TRUE	0.96
ABHD6	47.24	medium	46.78	0.36	TRUE	1
ABI1	50.1	medium	49.83	0.48	TRUE	0.98
ABI2	50.93	medium	50.88	0.49	TRUE	0.99
ABL2	46.51	medium	46.15	0.35	TRUE	0.99
ABLIM1	49.65	medium	49.32	0.55	TRUE	0.87
ABR	46.39	non-stable	46.02	0.34	TRUE	1
ACAA1	50.46	medium	50.27	0.48	TRUE	1
ACAA2		non-melter		0.77	TRUE	0.53
ACACA	47.89	medium	47.44	0.38	TRUE	0.99
ACACB	47.93	medium	47.48	0.39	TRUE	1
ACAD10	48.23	medium	47.8	0.39	TRUE	1
ACAD11	49.6	medium	49.27	0.43	TRUE	0.99
ACAD8	53.27	stable	55.31	0.74	TRUE	0.94
ACAD9	51.21	medium	51.27	0.56	TRUE	1
ACADM	52.76	medium	53.51	0.57	TRUE	0.99
ACADS	51.59	medium	51.81	0.55	TRUE	1
ACADSB	52.88	stable	53.74	0.66	TRUE	0.99
ACADVL	52.11	medium	52.54	0.57	TRUE	0.98
ACAP2	48.53	medium	48.13	0.41	TRUE	1
ACAT1	52.71	medium	53.43	0.54	TRUE	1
ACAT2	51.76	stable	52.03	0.67	TRUE	0.82
ACBD3	48.92	medium	48.53	0.4	TRUE	1
ACBD5	46.83	non-stable	46.45	0.35	TRUE	1
ACBD6	51.87	stable	52.23	0.67	TRUE	0.6
ACBD7	51.49	medium	51.65	0.63	TRUE	0.9
ACIN1	46.93	medium	46.54	0.45	TRUE	0.81
ACLY	50.68	medium	50.54	0.47	TRUE	1
ACO1	48.34	medium	47.92	0.39	TRUE	1
ACO2	50.03	medium	49.74	0.45	TRUE	1
ACOT11	50.06	medium	49.78	0.46	TRUE	1
ACOT2	49.76	medium	49.43	0.44	TRUE	1
ACOT7		non-melter		0.76	TRUE	0.67
ACOT8	51.71	medium	51.97	0.54	TRUE	0.99
ACOT9	51.13	medium	51.17	0.5	TRUE	1
ACOX1	51.63	medium	51.87	0.63	TRUE	0.98
ACOX2	51.32	medium	51.4	0.55	TRUE	0.97
ACOX3	51.39	medium	51.5	0.59	TRUE	0.99
